Latitude,Longitude,GMT,AST,Direct Tilted Irradiance,Diffused Tilted Irradiance,Cell Temperature,Panel Efficiency,Power Generation
52.0,4.7,2008-03-05 08:00:00,8.616355425968985,91.64609108292683,127.61120509203455,11.7885597513913,0.15936915344847183,35.94820909001696
52.0,4.7,2008-03-05 09:00:00,9.616355425968985,169.59304715367776,163.781051417339,16.579714027268206,0.15731541835981344,53.767647870892866
52.0,4.7,2008-03-05 10:00:00,10.616355425968985,220.7374115098818,181.33911414531738,20.0144070369974,0.15571670851360558,64.06740183695837
52.0,4.7,2008-03-05 11:00:00,11.616355425968985,254.81323766106303,181.47355366131708,22.018949678002045,0.15472704346729205,69.00226088452723
52.0,4.7,2008-03-05 12:00:00,12.616355425968985,376.25990542246916,152.37962696930376,25.667110734669254,0.15307218756747631,82.57456050586093
52.0,4.7,2008-03-05 13:00:00,13.616355425968985,447.9124934668415,112.67233616378334,26.523527417300247,0.15262448604407466,87.23464026932369
52.0,4.7,2008-03-05 14:00:00,14.616355425968985,346.024105847194,94.22631232038168,21.675374393326557,0.15502088938785033,69.65233510674528
52.0,4.7,2008-03-05 15:00:00,15.616355425968985,239.5765759505687,64.55124310326428,16.005614107867313,0.15738459661698037,48.923701744619116
52.0,4.7,2008-03-05 16:00:00,16.616355425968983,59.31527996769327,32.49191474106634,6.75464881494652,0.15514874368201978,14.604212872728947
52.0,4.7,2008-03-05 17:00:00,17.616355425968983,0.0831688998074601,0.3097102696568049,2.4595919412119507,0.13409743091045548,0.055300929925289566
52.0,4.7,2008-03-05 18:00:00,18.616355425968983,-0.0,0.0,3.0934082031250227,0.13346282225244777,0.0
52.0,4.7,2008-03-05 19:00:00,19.616355425968983,-0.0,0.0,3.3078857421875227,0.1333069605283189,0.0
52.0,4.7,2008-03-05 20:00:00,20.616355425968983,-0.0,0.0,3.4610534667968977,0.13319565290262125,0.0
52.0,4.7,2008-03-05 21:00:00,21.616355425968983,-0.0,0.0,3.7940917968750227,0.1329536325560904,0.0
52.0,4.7,2008-03-05 22:00:00,22.616355425968983,-0.0,0.0,4.204797363281273,0.13265517110427957,0.0
52.0,4.7,2008-03-05 23:00:00,0.11635542596898482,-0.0,0.0,4.325891113281273,0.13256717176999622,0.0
52.0,4.7,2008-03-06 00:00:00,0.6204782787037018,-0.0,0.0,4.524255371093773,0.1324230196347034,0.0
52.0,4.7,2008-03-06 01:00:00,1.620478278703702,-0.0,0.0,4.709130859375023,0.13228866984461052,0.0
52.0,4.7,2008-03-06 02:00:00,2.6204782787037018,-0.0,0.0,4.691735839843773,0.1323013108780131,0.0
52.0,4.7,2008-03-06 03:00:00,3.6204782787037018,-0.0,0.0,4.872247314453148,0.13217013243489667,0.0
52.0,4.7,2008-03-06 04:00:00,4.620478278703702,-0.0,0.0,5.817529296875023,0.1314831920670975,0.0
52.0,4.7,2008-03-06 05:00:00,5.620478278703702,-0.0,0.0,6.132836914062523,0.1312540567037367,0.0
52.0,4.7,2008-03-06 06:00:00,6.620478278703702,1.0054062363603213,14.616969865465277,6.79179815857371,0.13706840502721998,2.2239959847199584
52.0,4.7,2008-03-06 07:00:00,7.620478278703702,13.534423267543419,69.62857247074366,10.153613427961783,0.15150347010904633,13.023232124186967
52.0,4.7,2008-03-06 08:00:00,8.6204782787037,18.77147710333991,106.60813309536361,12.45563608583884,0.15478064125140617,20.008434452291937
52.0,4.7,2008-03-06 09:00:00,9.6204782787037,42.375827677488466,153.38157445089251,15.522819198901166,0.15613408324352268,31.503937443703567
52.0,4.7,2008-03-06 10:00:00,10.6204782787037,44.174737366818746,139.8349686166051,15.646717372561586,0.15570986582848548,29.60939939753438
52.0,4.7,2008-03-06 11:00:00,11.6204782787037,43.70759179477787,131.11593178717231,15.628122568453456,0.15540946598834085,28.118112523671723
52.0,4.7,2008-03-06 12:00:00,12.6204782787037,38.48256268892885,119.37571580198177,15.129213341197701,0.15503372736511004,25.344965212765697
52.0,4.7,2008-03-06 13:00:00,13.6204782787037,26.72312724388338,97.38050093014024,13.834905542655234,0.15371739295462064,19.757999005256234
52.0,4.7,2008-03-06 14:00:00,14.6204782787037,24.997577626454756,90.73451227306711,13.413533546327395,0.15322278639828343,18.317715757760613
